Device ID,time_stamp,kWh,Power,Cumul kWh,,Device ID,time_stamp,kWh,Power,Cumul kWh,,kWh Sum,W Sum
522,2016-03-26 17:00:00-07:00,0.02701576,27.01576,0.96501112,,523,2016-03-26 17:00:00-07:00,0.05340723,53.40723,1.69081907,,0.08042299,80.42299
522,2016-03-26 18:00:00-07:00,0.01519709,15.19709,0.98020821,,523,2016-03-26 18:00:00-07:00,0.03009357,30.09357,1.72091264,,0.04529066,45.29066
522,2016-03-26 19:00:00-07:00,0.03004842,30.04842,1.01025663,,523,2016-03-26 19:00:00-07:00,0.0531354,53.1354,1.77404804,,0.08318382,83.18382
522,2016-03-26 20:00:00-07:00,0.02709447,27.09447,1.0373511,,523,2016-03-26 20:00:00-07:00,0.05302093,53.02093,1.82706897,,0.0801154,80.1154
522,2016-03-26 21:00:00-07:00,0.027059,27.059,1.0644101,,523,2016-03-26 21:00:00-07:00,0.05247694,52.47694,1.87954591,,0.07953594,79.53594
522,2016-03-26 22:00:00-07:00,0.02702317,27.02317,1.09143327,,523,2016-03-26 22:00:00-07:00,0.05229769,52.29769,1.9318436,,0.07932086,79.32086
522,2016-03-26 23:00:00-07:00,0.02710152,27.10152,1.11853479,,523,2016-03-26 23:00:00-07:00,0.05220449,52.20449,1.98404809,,0.07930601,79.30601
522,2016-03-27 00:00:00-07:00,0.026788,26.788,1.14532279,,523,2016-03-27 00:00:00-07:00,0.05237009,52.37009,2.03641818,,0.07915809,79.15809
522,2016-03-27 01:00:00-07:00,0.02699197,26.99197,1.17231476,,523,2016-03-27 01:00:00-07:00,0.05280965,52.80965,2.08922783,,0.07980162,79.80162
522,2016-03-27 02:00:00-07:00,0.02684705,26.84705,1.19916181,,523,2016-03-27 02:00:00-07:00,0.0529965,52.9965,2.14222433,,0.07984355,79.84355
522,2016-03-27 03:00:00-07:00,0.02677661,26.77661,1.22593842,,523,2016-03-27 03:00:00-07:00,0.05312039,53.12039,2.19534472,,0.079897,79.897
522,2016-03-27 04:00:00-07:00,0.0267828,26.7828,1.25272122,,523,2016-03-27 04:00:00-07:00,0.05296123,52.96123,2.24830595,,0.07974403,79.74403
522,2016-03-27 05:00:00-07:00,0.02957787,29.57787,1.28229909,,523,2016-03-27 05:00:00-07:00,0.0530372,53.0372,2.30134315,,0.08261507,82.61507
522,2016-03-27 06:00:00-07:00,0.02788191,27.88191,1.310181,,523,2016-03-27 06:00:00-07:00,0.05332909,53.32909,2.35467224,,0.081211,81.211
522,2016-03-27 07:00:00-07:00,0.02708975,27.08975,1.33727075,,523,2016-03-27 07:00:00-07:00,0.05307536,53.07536,2.4077476,,0.08016511,80.16511
522,2016-03-27 08:00:00-07:00,0.02664349,26.64349,1.36391424,,523,2016-03-27 08:00:00-07:00,0.0530514,53.0514,2.460799,,0.07969489,79.69489
522,2016-03-27 09:00:00-07:00,0.02684532,26.84532,1.39075956,,523,2016-03-27 09:00:00-07:00,0.05273565,52.73565,2.51353465,,0.07958097,79.58097
522,2016-03-27 10:00:00-07:00,0.03713759,37.13759,1.42789715,,523,2016-03-27 10:00:00-07:00,0.06620611,66.20611,2.57974076,,0.1033437,103.3437
522,2016-03-27 11:00:00-07:00,0.05369568,53.69568,1.48159283,,523,2016-03-27 11:00:00-07:00,0.10548743,105.48743,2.68522819,,0.15918311,159.18311
522,2016-03-27 12:00:00-07:00,0.06984383,69.84383,1.55143666,,523,2016-03-27 12:00:00-07:00,0.10556953,105.56953,2.79079772,,0.17541336,175.41336
522,2016-03-27 13:00:00-07:00,0.0473654,47.3654,1.59880206,,523,2016-03-27 13:00:00-07:00,0.05268153,52.68153,2.84347925,,0.10004693,100.04693
522,2016-03-27 14:00:00-07:00,0.04260637,42.60637,1.64140843,,523,2016-03-27 14:00:00-07:00,0.05244912,52.44912,2.89592837,,0.09505549,95.05549
522,2016-03-27 15:00:00-07:00,0.02684793,26.84793,1.66825636,,523,2016-03-27 15:00:00-07:00,0.0524388,52.4388,2.94836717,,0.07928673,79.28673
522,2016-03-27 16:00:00-07:00,0.02707358,27.07358,1.69532994,,523,2016-03-27 16:00:00-07:00,0.05229415,52.29415,3.00066132,,0.07936773,79.36773
522,2016-03-27 17:00:00-07:00,0.02694487,26.94487,1.72227481,,523,2016-03-27 17:00:00-07:00,0.05234447,52.34447,3.05300579,,0.07928934,79.28934
522,2016-03-27 18:00:00-07:00,0.02696226,26.96226,1.74923707,,523,2016-03-27 18:00:00-07:00,0.05249806,52.49806,3.10550385,,0.07946032,79.46032
522,2016-03-27 19:00:00-07:00,0.02725594,27.25594,1.77649301,,523,2016-03-27 19:00:00-07:00,0.05325738,53.25738,3.15876123,,0.08051332,80.51332
522,2016-03-27 20:00:00-07:00,0.02699281,26.99281,1.80348582,,523,2016-03-27 20:00:00-07:00,0.05300917,53.00917,3.2117704,,0.08000198,80.00198
522,2016-03-27 21:00:00-07:00,0.02767644,27.67644,1.83116226,,523,2016-03-27 21:00:00-07:00,0.0528632,52.8632,3.2646336,,0.08053964,80.53964
522,2016-03-27 22:00:00-07:00,0,0,1.83116226,,523,2016-03-27 22:00:00-07:00,0,0,3.2646336,,0,0
522,2016-03-27 23:00:00-07:00,0,0,1.83116226,,523,2016-03-27 23:00:00-07:00,0,0,3.2646336,,0,0
522,2016-03-28 00:00:00-07:00,0.00836201,8.36201,1.83952427,,523,2016-03-28 00:00:00-07:00,0.01576854,15.76854,3.28040214,,0.02413055,24.13055
522,2016-03-28 01:00:00-07:00,0.02737141,27.37141,1.86689568,,523,2016-03-28 01:00:00-07:00,0.05197132,51.97132,3.33237346,,0.07934273,79.34273
522,2016-03-28 02:00:00-07:00,0.02767523,27.67523,1.89457091,,523,2016-03-28 02:00:00-07:00,0.05260824,52.60824,3.3849817,,0.08028347,80.28347
522,2016-03-28 03:00:00-07:00,0.0274426,27.4426,1.92201351,,523,2016-03-28 03:00:00-07:00,0.05264532,52.64532,3.43762702,,0.08008792,80.08792
522,2016-03-28 04:00:00-07:00,0.0303953,30.3953,1.95240881,,523,2016-03-28 04:00:00-07:00,0.05256828,52.56828,3.4901953,,0.08296358,82.96358
522,2016-03-28 05:00:00-07:00,0.02740275,27.40275,1.97981156,,523,2016-03-28 05:00:00-07:00,0.05281058,52.81058,3.54300588,,0.08021333,80.21333
522,2016-03-28 06:00:00-07:00,0.0299974,29.9974,2.00980896,,523,2016-03-28 06:00:00-07:00,0.05265041,52.65041,3.59565629,,0.08264781,82.64781
522,2016-03-28 07:00:00-07:00,0.02733957,27.33957,2.03714853,,523,2016-03-28 07:00:00-07:00,0.05220195,52.20195,3.64785824,,0.07954152,79.54152
522,2016-03-28 08:00:00-07:00,0.02726117,27.26117,2.0644097,,523,2016-03-28 08:00:00-07:00,0.05207814,52.07814,3.69993638,,0.07933931,79.33931
522,2016-03-28 09:00:00-07:00,0.02742258,27.42258,2.09183228,,523,2016-03-28 09:00:00-07:00,0.05166692,51.66692,3.7516033,,0.0790895,79.0895
522,2016-03-28 10:00:00-07:00,0.02711365,27.11365,2.11894593,,523,2016-03-28 10:00:00-07:00,0.05143346,51.43346,3.80303676,,0.07854711,78.54711
522,2016-03-28 11:00:00-07:00,0.02708747,27.08747,2.1460334,,523,2016-03-28 11:00:00-07:00,0.05157919,51.57919,3.85461595,,0.07866666,78.66666
